"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 27 10:38:17 MSK 2024","Sat Apr 27 10:38:53 MSK 2024","36242","chromium","orderTwoItems.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:31 MSK 2024","Sat Apr 27 10:37:32 MSK 2024","495","chromium","apitests\test-4.spec.ts","","","","Update user",""
"passed","Sat Apr 27 10:39:05 MSK 2024","Sat Apr 27 10:39:12 MSK 2024","6920","chromium","test-2.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:34 MSK 2024","Sat Apr 27 10:37:38 MSK 2024","3746","chromium","example.spec.js","","","","get started link",""
"passed","Sat Apr 27 10:37:38 MSK 2024","Sat Apr 27 10:37:42 MSK 2024","3482","chromium","frame.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:23 MSK 2024","Sat Apr 27 10:37:30 MSK 2024","7393","chromium","apitests\mock.spec.ts","Mocking an API call","","","mocks a fruit and does not call api",""
"passed","Sat Apr 27 10:37:46 MSK 2024","Sat Apr 27 10:37:53 MSK 2024","7561","chromium","miniCartCount.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:30 MSK 2024","Sat Apr 27 10:37:31 MSK 2024","609","chromium","apitests\test-4.spec.ts","","","","Get user",""
"passed","Sat Apr 27 10:37:32 MSK 2024","Sat Apr 27 10:37:32 MSK 2024","331","chromium","apitests\test-4.spec.ts","","","","Delete user",""
"passed","Sat Apr 27 10:38:55 MSK 2024","Sat Apr 27 10:39:05 MSK 2024","10491","chromium","test-1.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:31 MSK 2024","Sat Apr 27 10:37:31 MSK 2024","288","chromium","apitests\test-4.spec.ts","","","","Create user",""
"failed","Sat Apr 27 10:37:54 MSK 2024","Sat Apr 27 10:38:15 MSK 2024","21871","chromium","orderItemQuantity.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:42 MSK 2024","Sat Apr 27 10:37:46 MSK 2024","4143","chromium","login.spec.ts","","","","test",""
"passed","Sat Apr 27 10:37:32 MSK 2024","Sat Apr 27 10:37:34 MSK 2024","2553","chromium","example.spec.js","","","","has title",""
